gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
PP_042697	749	2.169	-Inf	5.233e-09	6.557e-12
PP_042529	747	4.169	-Inf	4.138e-07	1.037e-09
PP_041329	736	4.836	-Inf	7.844e-07	2.949e-09
PP_044689	759	5.462	-Inf	1.352e-06	6.775e-09
PP_042409	745	6.554	-Inf	3.623e-06	2.27e-08
LN_005077	94	10.27	-Inf	4.962e-05	3.731e-07
PP_039001	728	11.25	-Inf	7.304e-05	6.407e-07
PP_052705	773	12.41	-Inf	0.0001132	1.134e-06
PP_054889	782	14.63	-Inf	0.0002565	2.893e-06
LP_24810	410	15.55	-Inf	0.0003241	4.062e-06
PP_035327	720	15.85	-Inf	0.0003274	4.513e-06
LN_005041	92	17.36	-Inf	0.0004942	7.432e-06
LP_28871	474	17.8	-Inf	0.0005215	8.496e-06
LP_009409	268	19.71	-Inf	0.0008332	1.462e-05
LP_30125	495	21.08	-Inf	0.001108	2.083e-05
LP_28693	472	21.69	-Inf	0.001205	2.416e-05
LP_000796	127	24.36	-Inf	0.002055	4.377e-05
LP_26834	442	26.25	-Inf	0.002825	6.373e-05
LN_003349	77	27.77	-Inf	0.003541	8.432e-05
PP_046921	763	28.04	-Inf	0.003532	8.852e-05
LP_002446	191	28.13	-Inf	0.003417	8.991e-05
LP_27026	443	28.52	-Inf	0.003489	9.619e-05
LP_003051	204	29.49	-Inf	0.003932	0.0001133
LN_004316	84	32.53	-Inf	0.006052	0.000182
PP_013297	714	32.97	-Inf	0.0062	0.0001942
LN_004922	90	34.91	-Inf	0.00781	0.0002545
LP_31538	515	37.48	-Inf	0.01049	0.0003548
LP_30223	496	38.21	-Inf	0.01106	0.0003881
PP_039913	734	39.92	-Inf	0.01305	0.0004744
LP_24939	413	40.05	-Inf	0.01281	0.0004818
LP_31689	516	42.37	-Inf	0.016	0.0006215
LP_28580	470	48.06	-Inf	0.02714	0.001088
LP_19551	350	48.31	-Inf	0.02693	0.001114
LN_004694	87	49.42	-Inf	0.02887	0.00123
LP_001148	138	50.88	-Inf	0.03181	0.001395
LP_19007	322	51.57	-Inf	0.03279	0.001479
LN_005047	93	51.99	-Inf	0.03303	0.001531
LP_30020	493	54	-Inf	0.03782	0.001801
LP_009431	269	55.13	-Inf	0.04025	0.001967
LP_29011	475	58.08	-Inf	0.04885	0.002449
PP_046777	762	58.98	-Inf	0.05082	0.002611
LP_24676	408	61.81	-Inf	0.06027	0.003172
LP_19035	324	62.88	-Inf	0.06317	0.003404
LN_16788	116	64.63	-Inf	0.06905	0.003807
LN_001333	70	65.98	-Inf	0.07342	0.00414
LN_000001	56	66.17	-Inf	0.07265	0.004188
LP_18725	310	66.69	-Inf	0.07342	0.004324
GC_010	8	69.13	-Inf	0.08307	0.004996
LP_000433	124	69.99	-Inf	0.08546	0.005247
LP_32840	538	70.04	-Inf	0.08402	0.005264
LP_28579	469	70.99	-Inf	0.08691	0.005555
LP_009398	267	72.4	-Inf	0.0921	0.006001
PP_042673	748	72.42	-430.656565283241	0.09049	0.00601
LP_31814	517	73.71	-Inf	0.09523	0.006444
LP_17720	281	78.21	-Inf	0.1178	0.008116
GC_001	1	79.75	-Inf	0.1247	0.008753
LP_001827	156	81.56	-Inf	0.1335	0.009538
PN_023106	695	82.35	-Inf	0.1362	0.009896
LP_003029	203	83.12	-Inf	0.1387	0.01025
LP_17809	284	87.2	-Inf	0.1633	0.01228
LP_30123	494	87.25	-Inf	0.161	0.01231
LP_33924	551	87.41	-Inf	0.1595	0.01239
LN_002606	74	88.15	-Inf	0.162	0.01279
PP_037201	723	88.16	-Inf	0.1595	0.0128
LP_001893	161	89.47	-Inf	0.166	0.01352
GC_037	28	89.58	-Inf	0.1642	0.01358
LP_17963	288	89.86	-Inf	0.1636	0.01374
GC_012	10	93.72	-Inf	0.1883	0.01604
PP_042119	742	94.2	-Inf	0.1891	0.01635
LN_000764	68	94.79	-Inf	0.1907	0.01672
LP_000851	129	95.21	-Inf	0.191	0.01699
LP_009365	265	95.96	-Inf	0.1939	0.01749
LP_30420	501	96	-Inf	0.1915	0.01752
LP_19083	327	97.18	-Inf	0.1974	0.01831
LP_22924	391	97.41	-Inf	0.1965	0.01847
LP_005812	259	97.47	-Inf	0.1943	0.0185
LP_27027	444	99.82	-Inf	0.209	0.02017
LP_18066	294	101.5	-Inf	0.2188	0.02138
LP_009442	270	103.6	Inf	0.2328	0.02305
LP_30314	498	104	-Inf	0.2325	0.02331
LP_19532	349	104.6	-Inf	0.2348	0.02383
PN_022578	690	104.6	-Inf	0.232	0.02384
LP_32699	534	106.5	-Inf	0.2439	0.02536
LN_004958	91	106.7	-Inf	0.2424	0.02552
LN_003914	82	107.8	-Inf	0.2489	0.02651
PP_035017	718	107.9	-Inf	0.2467	0.02659
LP_34319	558	109.5	-Inf	0.2568	0.028
LP_000807	128	112.1	-Inf	0.2753	0.03035
PP_041689	738	112.3	-Inf	0.2736	0.03051
PP_038879	727	112.7	-Inf	0.2738	0.03088
PN_022610	692	115.4	-Inf	0.2939	0.03351
PP_036961	721	115.7	-Inf	0.2929	0.03377
LP_31815	518	117.4	-Inf	0.3049	0.03554
LP_001805	154	121.4	-Inf	0.3379	0.03981
LP_000906	131	121.7	-Inf	0.3363	0.04004
