gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
PP_054889	782	1.778	-Inf	1.754e-07	2.197e-10
LP_009431	269	7.06	-Inf	0.0003067	7.686e-07
PP_041929	741	7.505	-Inf	0.0002787	1.048e-06
LP_009310	264	13.33	-Inf	0.003268	1.638e-05
PP_042529	747	16.6	-Inf	0.006969	4.367e-05
LP_20366	368	18.26	-Inf	0.008789	6.608e-05
PP_039697	731	22.18	-Inf	0.01718	0.0001507
LP_24939	413	22.51	-Inf	0.01597	0.0001601
PP_044689	759	23.32	-Inf	0.01644	0.0001854
PP_041329	736	24.25	-Inf	0.01737	0.0002177
PP_051191	772	24.8	-Inf	0.01731	0.0002386
LP_002446	191	29.51	-Inf	0.03173	0.0004771
PP_039001	728	35.08	-Inf	0.05703	0.000929
LP_009398	267	38.67	-Inf	0.07631	0.001339
LP_27026	443	40.26	-Inf	0.08266	0.001554
LP_009288	262	40.95	-Inf	0.08247	0.001653
PP_046777	762	45.8	-Inf	0.1165	0.002482
LP_009409	268	46.13	-Inf	0.1129	0.002547
PP_013297	714	48.92	-Inf	0.1318	0.003139
LP_000763	126	52.5	-Inf	0.1605	0.004022
PP_049177	766	56.22	-Inf	0.1937	0.005098
LP_002523	198	61.22	-Inf	0.2472	0.006815
LP_001937	163	62.31	Inf	0.2508	0.00723
LP_30125	495	63.3	-Inf	0.2534	0.007621
LP_000796	127	63.76	-Inf	0.2493	0.007811
PP_038879	727	64.01	-Inf	0.2428	0.007909
LP_27237	447	65.51	-Inf	0.2525	0.008543
PP_037201	723	66.1	-Inf	0.2509	0.008804
LN_005041	92	66.88	-Inf	0.2518	0.009149
PP_054769	780	67.31	-Inf	0.2486	0.009347
LN_001333	70	68.29	-Inf	0.2522	0.009799
LP_28868	473	68.45	-Inf	0.2463	0.009877
LP_000851	129	68.59	-Inf	0.2404	0.009943
LP_20946	376	69.53	-Inf	0.244	0.0104
LP_009365	265	69.57	-Inf	0.2375	0.01041
