gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
PP_054889	782	1	-Inf	1.57e-06	1.968e-09
PP_041929	741	2	-Inf	3.022e-05	7.574e-08
PP_042529	747	4.041	-Inf	0.0004603	1.73e-06
LP_009442	270	5.241	-Inf	0.0009968	4.996e-06
LP_24939	413	6.35	-Inf	0.001705	1.068e-05
LP_20366	368	6.804	-Inf	0.001861	1.4e-05
PP_041329	736	7.23	-Inf	0.00202	1.772e-05
LP_009310	264	8.143	-Inf	0.002792	2.799e-05
LP_002058	171	10.32	-Inf	0.005964	6.726e-05
LP_27027	444	11.91	-Inf	0.00884	0.0001108
LP_000796	127	13.82	-Inf	0.01332	0.0001836
LP_002311	184	13.84	-Inf	0.01227	0.0001845
LN_005077	94	14.75	-Inf	0.01401	0.0002282
LP_27237	447	16.47	-Inf	0.01867	0.0003275
LP_009409	268	17.86	-Inf	0.02268	0.0004264
LP_34206	557	18.06	-Inf	0.02202	0.0004415
LP_009398	267	18.53	-Inf	0.0225	0.0004793
LP_003051	204	22.58	-Inf	0.03968	0.0008951
LP_19486	346	23.61	-Inf	0.04312	0.001027
LP_30125	495	24.26	-Inf	0.04456	0.001117
LP_20946	376	24.43	-Inf	0.04335	0.001141
LP_002300	183	24.58	-Inf	0.04216	0.001162
LP_009431	269	24.87	-Inf	0.0418	0.001205
LP_001959	165	25.32	-Inf	0.04234	0.001273
LP_30223	496	26.59	-Inf	0.04714	0.001477
LP_002468	193	28.59	-Inf	0.05644	0.001839
LP_009288	262	31.96	-Inf	0.07568	0.002561
LP_36122	587	32.7	-Inf	0.07808	0.00274
LP_002036	169	35.53	-Inf	0.09603	0.00349
PP_046777	762	35.82	-Inf	0.09506	0.003574
LP_36412	593	36.97	-Inf	0.1008	0.003917
LP_35195	573	37.23	-Inf	0.09966	0.003996
LP_002446	191	37.62	-Inf	0.09955	0.004117
LP_001882	160	37.97	-Inf	0.09924	0.004228
LP_002168	176	38.05	-Inf	0.09702	0.004255
LP_37033	608	42.22	-Inf	0.1267	0.005716
LP_002457	192	43.5	-Inf	0.1341	0.006219
LP_001871	159	44.03	-Inf	0.1351	0.006431
LP_33935	553	44.43	-Inf	0.135	0.006598
LP_23980	401	45.09	-Inf	0.1372	0.006875
LP_002179	177	45.32	-Inf	0.1357	0.00697
LN_003349	77	45.69	-Inf	0.1355	0.00713
LP_003128	205	46.78	-Inf	0.1413	0.007615
LP_36495	595	46.99	-Inf	0.1398	0.007706
LP_001948	164	48.02	-Inf	0.1451	0.008182
LP_002157	175	48.83	-Inf	0.1486	0.008566
LP_002289	182	49.23	-Inf	0.1488	0.008762
LP_000851	129	49.27	-Inf	0.146	0.008779
LP_35086	570	53.1	-Inf	0.1752	0.01076
LP_002523	198	53.29	-Inf	0.1734	0.01086
LP_28580	470	53.6	-Inf	0.1727	0.01103
PP_049177	766	54.19	-Inf	0.1744	0.01136
LP_19835	359	54.73	-Inf	0.1757	0.01167
LP_001970	166	54.94	-Inf	0.1742	0.01179
LP_001148	138	60.4	-Inf	0.2198	0.01515
LN_16788	116	61.03	-Inf	0.2217	0.01556
LP_37187	611	61.71	-Inf	0.2242	0.01601
LP_37241	613	62.76	-Inf	0.2302	0.01673
LP_003029	203	63.61	-Inf	0.2343	0.01732
LP_002069	172	66	-Inf	0.2532	0.01904
LP_28868	473	66.61	-Inf	0.255	0.01949
LP_19551	350	68.19	-Inf	0.2662	0.02068
LP_000906	131	69.06	-Inf	0.2705	0.02135
LN_16499	109	69.15	-Inf	0.2671	0.02142
