gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
PP_054889	782	1.38	-Inf	8.456e-11	1.06e-13
LP_009409	268	6.645	-Inf	9.907e-06	2.483e-08
PP_038879	727	6.76	-Inf	7.375e-06	2.773e-08
PP_039001	728	7.3	-Inf	9.068e-06	4.545e-08
LP_001937	163	11.34	-Inf	0.0001073	6.722e-07
PN_027202	708	14.3	-Inf	0.0003393	2.551e-06
PN_027554	711	15.33	-Inf	0.0004283	3.757e-06
LP_23980	401	18.3	-Inf	0.0009839	9.863e-06
LP_001860	158	18.75	-Inf	0.0009953	1.122e-05
LP_001148	138	21.91	-Inf	0.002032	2.546e-05
LP_25975	424	21.98	-Inf	0.001876	2.586e-05
LP_000796	127	23.64	-Inf	0.002502	3.763e-05
LP_20946	376	24.91	-Inf	0.003011	4.905e-05
PN_022578	690	25.32	-Inf	0.003035	5.325e-05
LP_009442	270	25.38	-Inf	0.002864	5.384e-05
PP_042673	748	26.15	-Inf	0.00312	6.256e-05
PP_036985	722	27.72	-Inf	0.003924	8.36e-05
LP_001948	164	28.05	-Inf	0.00393	8.865e-05
PP_041929	741	28.16	-Inf	0.003796	9.038e-05
LN_15403	99	31.6	-Inf	0.006315	0.0001583
PP_042409	745	32.05	-Inf	0.006443	0.0001695
LP_24086	402	34.94	-Inf	0.009272	0.0002556
LP_002025	168	38.55	-Inf	0.01403	0.0004043
LP_005812	259	38.79	-Inf	0.01383	0.0004159
LP_26119	428	39.34	-Inf	0.01417	0.0004438
PN_022610	692	43.11	-Inf	0.02064	0.0006725
LP_23854	399	46.24	-Inf	0.02715	0.0009187
LP_26236	431	48.95	-Inf	0.03362	0.00118
LP_002457	192	50.87	-Inf	0.03836	0.001394
LP_009431	269	51.28	-Inf	0.03838	0.001443
LP_22041	382	52.5	-Inf	0.04111	0.001597
PP_039025	729	52.52	-Inf	0.03988	0.001599
PP_051191	772	53.76	-Inf	0.04273	0.001767
LP_23731	397	54.7	-Inf	0.04466	0.001903
LN_16788	116	54.76	-Inf	0.04357	0.001911
PN_023106	695	56.19	-Inf	0.04726	0.002132
LN_005077	94	60.82	-Inf	0.06398	0.002967
PP_042529	747	62.88	-Inf	0.07148	0.003404
LP_003436	214	66.3	-Inf	0.08637	0.004221
PP_054769	780	66.65	-Inf	0.08605	0.004313
LP_003719	220	66.79	-Inf	0.08465	0.004349
PP_041329	736	66.8	-Inf	0.08271	0.004353
PP_039913	734	68.1	-Inf	0.08727	0.004703
LP_003051	204	68.3	-Inf	0.08631	0.004759
LP_27560	453	71.23	-Inf	0.09979	0.005627
LP_29012	476	71.31	-Inf	0.09808	0.005654
LN_16548	112	74.08	-Inf	0.1116	0.006571
LP_24088	403	74.7	-Inf	0.1129	0.006789
PP_041713	739	80.52	-Inf	0.1479	0.009082
LP_005086	257	81.7	-Inf	0.1533	0.009602
LP_002479	194	83.04	-Inf	0.1598	0.01021
LP_23730	396	83.07	-Inf	0.157	0.01023
LP_002245	178	83.69	-Inf	0.1584	0.01052
LP_22581	387	84.59	-Inf	0.1619	0.01096
LN_16499	109	86.79	-Inf	0.1751	0.01207
PP_043273	752	86.99	-Inf	0.1735	0.01217
PP_054529	778	89.41	-Inf	0.1888	0.01349
LP_003917	224	89.53	-Inf	0.1865	0.01356
LP_24939	413	90.27	428.744092212673	0.189	0.01397
LN_003349	77	90.45	-Inf	0.1872	0.01408
LP_002699	201	91.34	-Inf	0.191	0.0146
LP_29154	479	91.62	-Inf	0.19	0.01476
LP_31157	513	91.76	-Inf	0.188	0.01484
LP_002135	173	92.7	-Inf	0.1922	0.01541
PP_043801	755	93.08	-Inf	0.1921	0.01565
LP_001159	139	93.34	-Inf	0.1911	0.01581
LP_001082	136	93.87	-Inf	0.1922	0.01614
LP_28563	468	94.36	-Inf	0.193	0.01645
PP_054361	775	95.53	-Inf	0.1989	0.0172
LN_005041	92	96.08	-Inf	0.2003	0.01757
LP_34061	555	96.31	-Inf	0.1991	0.01772
LP_27237	447	96.78	-Inf	0.1999	0.01803
LP_002468	193	98.57	-Inf	0.2106	0.01927
LP_001959	165	99.84	-873.012653414531	0.2176	0.02018
LP_22845	390	100.5	-Inf	0.2196	0.02064
LN_000764	68	100.6	-Inf	0.2174	0.02071
LP_30223	496	102.9	-Inf	0.2331	0.02249
LP_28871	474	103.2	-Inf	0.2327	0.02274
LP_009365	265	104.1	-Inf	0.2367	0.02343
LP_20797	371	107.7	-Inf	0.2633	0.0264
LP_003326	212	111	-Inf	0.2889	0.02933
LP_001805	154	111.7	-Inf	0.2918	0.02999
LN_001333	70	114.4	-Inf	0.3123	0.03248
LP_25476	419	115.9	-Inf	0.323	0.034
PN_027714	712	116.3	-Inf	0.3225	0.03436
LP_36950	605	120.7	-Inf	0.3622	0.03903
LN_000788	69	120.9	-Inf	0.3593	0.03918
LP_32844	539	122.5	-Inf	0.3716	0.04098
LP_002523	198	122.5	-Inf	0.3678	0.04102
LP_003730	221	122.9	-Inf	0.3676	0.04146
LP_22580	386	123.4	-Inf	0.3685	0.04203
LP_20366	368	124	Inf	0.3697	0.04262
LN_16761	114	124.1	-Inf	0.3673	0.04281
LP_21506	380	125.1	-Inf	0.3731	0.04395
LP_28102	460	126.6	-Inf	0.3841	0.04573
LP_34206	557	5.335	Inf	4.61e-06	5.776e-09
LP_35310	575	6.034	Inf	5.264e-06	1.319e-08
PP_046921	763	6.623	Inf	6.462e-06	2.429e-08
LP_002058	171	7.248	Inf	8.659e-06	4.34e-08
PP_049919	770	7.844	Inf	1.143e-05	7.163e-08
LP_002036	169	9.384	Inf	2.886e-05	2.17e-07
LP_33935	553	10.2	Inf	4.09e-05	3.588e-07
LP_35195	573	11.98	Inf	9.261e-05	9.284e-07
LP_001871	159	12.89	Inf	0.0001253	1.414e-06
LP_002168	176	16.17	Inf	0.0004021	5.039e-06
LP_002311	184	16.72	Inf	0.0004392	6.054e-06
LP_001882	160	20.16	Inf	0.001096	1.647e-05
LP_35311	576	20.78	Inf	0.001186	1.932e-05
LP_001816	155	22.93	Inf	0.001835	3.219e-05
LP_35086	570	23.39	Inf	0.001895	3.562e-05
LP_36122	587	23.92	Inf	0.001989	3.988e-05
PP_042697	749	25.61	Inf	0.002643	5.631e-05
LP_002047	170	25.71	Inf	0.002547	5.746e-05
LP_009310	264	26.41	Inf	0.002763	6.578e-05
LP_003928	225	29.06	Inf	0.00421	0.0001055
LP_26834	442	29.31	Inf	0.004181	0.00011
LP_32561	533	39.21	Inf	0.01585	0.000437
LP_001970	166	40.79	Inf	0.01815	0.0005232
PP_042313	744	41.3	Inf	0.01842	0.000554
LP_003939	226	42.29	Inf	0.01969	0.0006168
LP_003271	210	43.51	Inf	0.0215	0.0007003
LP_32706	536	43.51	Inf	0.0207	0.0007004
LP_002069	172	44.3	Inf	0.02165	0.0007598
LP_009288	262	45.54	Inf	0.02363	0.0008587
LP_002157	175	46.81	Inf	0.0258	0.0009701
LP_37109	610	49.97	Inf	0.03323	0.001291
LP_003741	222	51.72	Inf	0.03734	0.001497
LP_32444	531	52.27	Inf	0.0379	0.001567
PP_037201	723	52.34	Inf	0.03699	0.001576
LP_004467	239	52.57	Inf	0.03662	0.001606
LP_003598	218	52.89	Inf	0.03653	0.001648
PP_0425291	747	54.03	-Inf	0.03894	0.001806
PP_039697	731	54.06	Inf	0.038	0.001809
LP_002410	190	55.52	Inf	0.04147	0.002027
LP_37033	608	55.58	Inf	0.04062	0.002036
LP_35194	572	56.42	Inf	0.04219	0.002168
LP_203661	368	57.26	Inf	0.04384	0.002308
LP_26833	441	58.54	Inf	0.04699	0.002532
PP_038617	725	58.55	Inf	0.04596	0.002534
LP_33820	550	59.79	Inf	0.049	0.002763
LP_36495	595	60.28	Inf	0.04959	0.002859
LP_19083	327	60.98	Inf	0.05091	0.002999
LP_36064	586	61.4	Inf	0.05129	0.003085
LP_001893	161	62.94	Inf	0.05564	0.003416
LP_002300	183	63.84	Inf	0.05778	0.00362
PP_043705	754	66.37	Inf	0.06634	0.00424
LP_0094311	269	68	-Inf	0.07178	0.004677
LP_003029	203	68.09	Inf	0.07076	0.0047
LP_004181	232	68.47	Inf	0.07103	0.004806
LP_002278	181	70.74	Inf	0.07943	0.005474
LP_33433	543	73.16	Inf	0.08914	0.006255
LP_249391	413	73.76	428.744092212673	0.09046	0.006461
LP_004148	231	74.03	Inf	0.09016	0.006553
LP_002267	180	75.76	Inf	0.09704	0.007175
LP_000763	126	79.58	Inf	0.1154	0.00868
LP_37994	643	79.75	Inf	0.1145	0.008752
PP_044689	759	81.46	Inf	0.1222	0.009491
LP_33333	542	83.21	Inf	0.1304	0.01029
LP_004225	233	83.69	Inf	0.1312	0.01052
LP_002179	177	83.92	Inf	0.1305	0.01063
LP_36986	607	84.54	Inf	0.1322	0.01093
LP_34819	563	86.34	Inf	0.1409	0.01183
LP_34749	562	86.35	Inf	0.139	0.01184
