gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
NDUFA13	1589	3.915	-3.7172873987027	8.325e-05	2.737e-08
ACYP1	57	4.062	-3.58346287754759	4.851e-05	3.189e-08
CNN3	508	6.98	-2.76807612670624	0.0002828	2.789e-07
MACF1	1371	9.502	-2.64025395309453	0.000691	9.086e-07
LARS	1307	12.96	-1.8437328369482	0.001761	2.894e-06
CLIP2	488	17.59	-1.25016542558727	0.004347	8.575e-06
VPS37A	2955	22.22	-1.45917916909383	0.008222	1.892e-05
SSFA2	2586	22.36	-1.1037669077922	0.007343	1.931e-05
BSG	309	22.4	-1.54077824317715	0.006562	1.941e-05
NELFCD	1616	22.65	-0.997405483291548	0.00613	2.015e-05
DVL2	734	25.38	-1.48398485299634	0.008119	2.936e-05
RNF115	2212	25.93	-1.37706964907982	0.00798	3.148e-05
RALBP1	2139	26.67	-1.38345409674893	0.008074	3.45e-05
TXNRD1	2843	27.28	-1.18935125221735	0.008069	3.713e-05
RAB2B	2111	30.64	-1.40239731850007	0.01095	5.402e-05
CDK9	435	32.69	-1.41426826703407	0.01263	6.641e-05
EMG1	820	32.89	-1.50430483737593	0.01211	6.767e-05
SRGAP1	2556	34.08	-0.732643988216113	0.0128	7.577e-05
GOSR1	1024	39.31	-0.77349147019132	0.01899	0.0001186
CD46	411	41.74	-1.86354609073135	0.02174	0.0001429
SLC4A1AP	2465	42.06	-0.640703741107803	0.02118	0.0001462
TMEM209	2740	42.82	-0.674613585340227	0.02139	0.0001547
SMG8	2489	42.86	-0.639804305267642	0.0205	0.000155
ANXA6	141	42.9	-0.893517669530019	0.01971	0.0001555
FAM192A	886	45.01	-1.57003595648305	0.02193	0.0001802
RPP30	2278	45.58	-0.682695931638085	0.02192	0.0001874
TMED2	2733	49.12	-1.4564051357474	0.02652	0.0002353
RASGEF1C	2154	49.13	-1.47112867176188	0.0256	0.0002356
CMAS	499	50.21	-0.586839224409186	0.0264	0.0002516
APOB	163	53.33	-0.563624917755461	0.03063	0.000302
NCKIPSD	1577	54.54	-1.32481637421219	0.0317	0.0003231
ZC3H11A	3020	59.58	-1.46553991807327	0.04002	0.000421
INTS3	1213	59.76	-0.684549700015068	0.03916	0.0004248
HS1BP3	1146	60.37	-1.25291341697218	0.03917	0.0004378
AKAP12	97	61.61	-0.516016589699427	0.04042	0.000465
RPRD2	2280	63.48	-0.553849659870907	0.04293	0.000508
SEMA7A	2398	63.57	-0.510046098668694	0.04195	0.0005102
