FC..class1.class2.	P.value
NDUFA13	-3.7172873987027	2.737e-08
ACYP1	-3.58346287754759	3.189e-08
CNN3	-2.76807612670624	2.789e-07
MACF1	-2.64025395309453	9.086e-07
LARS	-1.8437328369482	2.894e-06
CLIP2	-1.25016542558727	8.575e-06
VPS37A	-1.45917916909383	1.892e-05
SSFA2	-1.1037669077922	1.931e-05
BSG	-1.54077824317715	1.941e-05
NELFCD	-0.997405483291548	2.015e-05
DVL2	-1.48398485299634	2.936e-05
RNF115	-1.37706964907982	3.148e-05
RALBP1	-1.38345409674893	3.45e-05
TXNRD1	-1.18935125221735	3.713e-05
RAB2B	-1.40239731850007	5.402e-05
CDK9	-1.41426826703407	6.641e-05
EMG1	-1.50430483737593	6.767e-05
SRGAP1	-0.732643988216113	7.577e-05
GOSR1	-0.77349147019132	0.0001186
CD46	-1.86354609073135	0.0001429
SLC4A1AP	-0.640703741107803	0.0001462
TMEM209	-0.674613585340227	0.0001547
SMG8	-0.639804305267642	0.000155
ANXA6	-0.893517669530019	0.0001555
FAM192A	-1.57003595648305	0.0001802
RPP30	-0.682695931638085	0.0001874
TMED2	-1.4564051357474	0.0002353
RASGEF1C	-1.47112867176188	0.0002356
CMAS	-0.586839224409186	0.0002516
APOB	-0.563624917755461	0.000302
NCKIPSD	-1.32481637421219	0.0003231
ZC3H11A	-1.46553991807327	0.000421
INTS3	-0.684549700015068	0.0004248
HS1BP3	-1.25291341697218	0.0004378
AKAP12	-0.516016589699427	0.000465
RPRD2	-0.553849659870907	0.000508
SEMA7A	-0.510046098668694	0.0005102
PATL1	-0.495735558650761	0.0005361
WDR92	-0.495532147294641	0.0005794
SYNE3	-0.511896366876423	0.000635
RABGGTB	-1.14912058491193	0.0006481
RNF149	-0.493702734528478	0.0007208
SPTBN1	-1.11122753225756	0.0007554
NAPG	-0.461759842025724	0.0007681
WDR62	-0.534077760696063	0.0008596
PHF3	-0.461362514829357	0.0008711
CTNNBIP1	-1.00781166374669	0.0008857
NENF	-0.462753639020927	0.0008923
SLC43A3	-0.447327828837783	0.0009002
MYO1E	-0.441242569626238	0.0009591
RNASEH2A	-1.29760841569195	0.001101
NCOR1	-0.502668664769725	0.001113
PCNT	-1.12847172913778	0.001132
RPS6KA4	-0.501442751900983	0.001197
SPECC1L	-0.438307278601691	0.00125
CDC73	-0.455217895213337	0.001307
PEG10	-0.398208416137974	0.001384
BDH1	-0.41985451557662	0.001408
NIPSNAP1	-0.551944832282812	0.001484
GPN1	-0.391379975639508	0.00151
BRAT1	-0.408512061602057	0.001522
BOD1L1	-0.419468561844813	0.001631
UPP1	-0.415807141890262	0.001654
CAST	-0.524085027821821	0.00171
CLASP1	-0.415037499278844	0.001717
CYB5A	-0.415229871442725	0.001736
PEX6	-0.42081985187285	0.001761
RPL11	-0.715485866755755	0.001763
TMA16	-0.379882834971316	0.001891
AGR2	-0.741300184430097	0.001949
STX18	-0.394221232464536	0.002021
BAHCC1	-1.32988481871571	0.002145
TACC2	-0.555332933158092	0.002197
POM121;POM121C	-0.366057368764396	0.002226
BRI3BP	-0.368476593521103	0.002226
AIM1	-1.2691644376778	0.002567
PRKACB	-0.375758703927476	0.002608
SIKE1	-0.345197874210209	0.002851
PDHX	-0.34098882880185	0.002917
USP19	-0.491875638615801	0.003002
KIF3A	-0.35089043505707	0.003075
COL6A1	-0.351074440546879	0.003103
SSU72	-0.364756387640972	0.003487
TMEM165	-0.325720148620552	0.00378
FBXO30	-0.321928094887362	0.003884
RASAL2	-0.337703337663285	0.003902
MIA2	-0.348684197786196	0.00397
RRP9	-0.360860468619572	0.003982
FAM107B	-0.309001920443092	0.004204
C19orf52	-0.34025807278223	0.004354
RBX1	-0.360304766600418	0.004421
MPHOSPH6	-0.308823203187876	0.004441
TAB2	-0.320486120713456	0.004479
RABGAP1	-0.300093067625124	0.004606
NUDT4	-0.298495300235087	0.004646
CGGBP1	-0.360675210829155	0.004758
TRIM38	-0.322469206992558	0.004954
SRXN1	-0.314015013244097	0.005049
DNM1L	-0.448508591452505	0.005065
YY1	-0.385714193880954	0.005089
SIK3	-0.329340918599597	0.005394
UBAP2	-0.307037247227081	0.00556
AURKB	-0.287184145562628	0.005562
NSRP1	-0.335699214659963	0.005647
HNRNPD	-0.35089043505707	0.005647
AAAS	-0.284370159463337	0.005747
F8A1	-0.344648171387446	0.006023
WFS1	-0.273343137314313	0.00617
ICMT	-0.330610337987163	0.006177
CYP51A1	-0.34025807278223	0.00685
GPRC5A	-0.301692606485373	0.006865
GSTT2B;GSTT2	-0.31796612873494	0.006908
CLTCL1	-0.313118539567772	0.007064
SMARCC1	-0.300093067625124	0.007394
MYO18A	-0.353468650010841	0.007449
SLC20A1	-0.309001920443092	0.007456
ARPP19	-0.314373758749089	0.007487
DIAPH3	-0.388355456626338	0.007883
SMTN	-0.257390096905414	0.008074
MICAL3	-0.31258092262811	0.008162
JAG1	-0.27282013747502	0.008539
SOGA1	-0.273168782967507	0.008684
DIAPH2	-0.267947926699711	0.008956
MECP2	-0.25859773408041	0.009071
PHYHD1	-0.305431774991166	0.009113
NUDT15	-0.266038336691079	0.009151
MLLT4	-0.248279213224955	0.009338
KIF2A	-0.260151897300673	0.00938
RDH14	-0.319225574507539	0.009394
PCBD1	-0.309359421384307	0.00942
CCDC94	-0.250508638397475	0.009634
AGO2	-0.246737780732143	0.009667
CTPS2	-0.27805868731534	0.01007
POLD2	-0.241099910291317	0.01016
EEF1A2	-0.326081816970626	0.01075
STRN4	-0.240929409193099	0.01117
MAN2B1	-0.237013435119424	0.01147
ORMDL3	-0.236843416258713	0.01152
ASPH	-0.238714726638381	0.01158
MTA3	-0.245540026374521	0.01182
NOL11	-0.325539348439741	0.01193
ACY1	-0.286480134305086	0.01202
AJUBA	-0.231752145097155	0.01222
AKT2	-0.295128035543647	0.01224
TOMM6	-0.294774043383635	0.01238
TAF10	-0.234465253637023	0.0124
LIMCH1	-0.2688167584278	0.01274
CMC1	-0.233616858998702	0.01283
TMEM41B	-0.226509972504442	0.01288
UBR1	-0.266558883346876	0.01291
AAK1	-0.3040061868901	0.01305
ACOX1	-0.301692606485373	0.0133
MAP4K4	-0.241270431542137	0.01334
FAM213A	-0.0320936297098533	0.01351
GNL3L	-0.278233633661385	0.01381
SCARB2	-0.228705984348338	0.01397
NEXN	-0.241611534520648	0.01406
STX8	-0.225834948493583	0.01416
ARHGEF18	-0.231074664436249	0.01454
TIMM23B;TIMM23	-0.216250016992825	0.01456
GOLGB1	-0.220109960659953	0.01546
PPFIA1	-0.213570916796944	0.0162
RNF7	-0.22398025935253	0.01662
MESDC2	-0.21574730659542	0.01666
CCDC6	-0.210395933668423	0.0171
TCEB3	-0.217088257119184	0.01714
PFKM	-0.258080051505312	0.01716
ZC3H4	-0.255322210682926	0.0172
TTI1	-0.244856041513593	0.01746
HEBP2	-0.226509972504442	0.01769
KIF3B	-0.256700472111743	0.01769
DDX10	-0.208060935404666	0.01824
ORMDL1;ORMDL2	-0.203402245951694	0.0186
ATP6V1D	-0.208727692223415	0.01867
ARHGAP35	-0.215579775382216	0.01878
NUDT16L1	-0.246053227912235	0.0192
C4orf27	-0.196938324908699	0.01969
CHMP4A	-0.22044609650511	0.01984
AGL	-0.202737945241954	0.02
BABAM1	-0.202903991745088	0.02018
STX4	-0.207227922481881	0.02037
MPHOSPH10	-0.20074687643936	0.0208
IER3IP1	-0.199255376063222	0.02086
RRAS	-0.198261898433542	0.02123
FNDC3B	-0.213905532370957	0.02125
PREB	-0.235993622371335	0.02125
CD58	-0.257217659799981	0.0214
SSBP1	-0.214742411007388	0.02151
MDN1	-0.224991612384405	0.02192
INTS7	-0.234634992450195	0.02194
OSGEP	-0.2397364653786	0.02233
TBK1	-0.209227962138	0.02234
CAMK2D	-0.194459892687945	0.02236
VTI1B	-0.242464644971199	0.02254
RSF1	-0.191985710910402	0.02275
