gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
SSU72	2592	1.587	-5.0303245368568	1.317e-06	4.329e-10
CMAS	499	2	-4.61422662221166	2.08e-06	1.367e-09
DSG2	725	3.634	-2.81096617560998	2.03e-05	2.002e-08
RBX1	2177	5.241	-2.45087301980073	6.86e-05	9.02e-08
EEF1A2	756	5.518	-2.29689930039584	6.738e-05	1.107e-07
RMDN1	2208	6.316	-2.17984146526984	9.579e-05	1.889e-07
ITGB5	1241	8.041	-1.8170535054889	0.0002093	4.816e-07
BSG	309	9.345	-1.612637459164	0.0003243	8.53e-07
PLEC	1879	9.726	-1.68826439802073	0.0003353	9.92e-07
ZNF185	3034	10.26	-1.46116389225853	0.000369	1.213e-06
TXNRD1	2843	10.95	-1.87673111250565	0.0004277	1.547e-06
KIAA1671	1266	13.28	-1.11622280248379	0.0008022	3.164e-06
RSRC2	2331	13.99	-0.979373349410042	0.0008971	3.834e-06
AATF	8	15.7	-0.929610672108602	0.001258	5.79e-06
RIOK1	2206	16.43	-0.897812206776385	0.001375	6.781e-06
GNL3L	1011	21.54	-0.691056711874786	0.003242	1.705e-05
PEF1	1823	21.54	-0.729770092762002	0.003052	1.705e-05
PPIA	1924	22.39	-0.730488030095001	0.003277	1.939e-05
WTAP	2992	24.9	-0.663373834236464	0.004415	2.757e-05
FAM213A	888	26.1	-0.703219582573575	0.004892	3.216e-05
DAG1	612	26.21	-0.638680798442784	0.00472	3.259e-05
C19orf52	327	26.4	-0.599462070416271	0.004615	3.337e-05
NCAPD3	1570	27.92	-0.619270551496451	0.005293	4.002e-05
SPATA5	2540	28.82	-0.623931928866314	0.005621	4.435e-05
SYNE3	2647	28.82	-0.6080123737802	0.005397	4.435e-05
UBXN7	2885	32.74	-0.534077760696063	0.007804	6.67e-05
ODR4	1730	33.72	-0.521183470950585	0.008251	7.324e-05
NENF	1619	34.8	-0.529905707352221	0.008796	8.096e-05
LAMA5	1295	35.92	-0.501442751900983	0.009378	8.94e-05
SAAL1	2349	37.22	-0.492484413520771	0.01014	1e-04
MARCH5	1392	38.78	-0.485397973557959	0.01116	0.0001137
SGPL1	2429	39.63	-0.465340719586122	0.01156	0.0001216
FBXO30	903	41.44	-0.476739159547285	0.01288	0.0001397
CGGBP1	451	42.54	-0.452846341187431	0.01356	0.0001515
ZMPSTE24	3032	43.2	-0.442614418576475	0.01381	0.0001589
PSMF1	2055	43.88	-0.438698305854631	0.01409	0.0001667
RBM5	2172	44.56	-0.438307278601691	0.01437	0.0001747
CLPTM1L	493	45.97	-0.433038757685511	0.0154	0.0001923
BMI1	297	47.3	-0.420626732932613	0.01637	0.0002099
IRF2BP2	1225	47.4	-0.474331992624722	0.01606	0.0002112
HSP90AB2P	1155	47.93	-0.429537068973959	0.01621	0.0002185
PRKACB	1983	49.46	-0.400301346996265	0.01741	0.0002403
PGM3	1847	49.67	-0.395549069687484	0.01722	0.0002435
EPS8	837	52.73	-0.396118517115792	0.02018	0.0002919
ARL2	200	52.79	-0.387411593301282	0.0198	0.0002929
CDC20	420	54.47	-0.391001563823334	0.02128	0.0003217
SNRPE	2512	57.32	-0.369594528517677	0.02428	0.0003751
GPATCH8	1027	57.69	-0.375758703927476	0.02422	0.0003822
TRIM38	2791	58.53	-0.425850039490298	0.02478	0.0003992
IP6K1	1215	60.24	-0.366057368764396	0.02646	0.000435
RRP8	2326	62.33	-0.339892833529422	0.02871	0.0004813
