gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
EFHD1	762	9.379	-1.71311885221184	0.002631	8.648e-07
DIABLO	680	10.91	-1.47353049535917	0.002326	1.529e-06
BSG	309	11.72	-1.42778940668769	0.002022	1.994e-06
TRIM38	2791	11.91	-1.39782820924662	0.001611	2.118e-06
PPP3R1	1960	14.52	-1.29265191251673	0.002674	4.396e-06
BRI3BP	305	15.53	-1.32156746620385	0.002823	5.567e-06
FUNDC2	942	16.64	-1.19627699322584	0.003079	7.084e-06
AKAP12	97	17.04	-1.18082233445723	0.002926	7.694e-06
BOD1L1	299	17.55	-1.18213119827201	0.002878	8.513e-06
PAK4	1769	17.6	-1.16004041251047	0.002617	8.604e-06
OARD1	1724	18.72	-1.20689485194112	0.002936	1.062e-05
AKAP9	101	19.95	-1.14369151028256	0.003339	1.317e-05
JUP	1250	20.35	-0.77595972578207	0.003295	1.408e-05
OCRL	1729	20.43	-0.99596609871551	0.003102	1.427e-05
IGFBP4	1195	21.3	-1.07612822646992	0.003329	1.642e-05
INTS3	1213	24.11	-1.18869338853022	0.004713	2.479e-05
TOE1	2758	24.73	-0.717619505361394	0.004821	2.694e-05
BET1	290	27.2	-0.727857338035824	0.006217	3.679e-05
WDR92	2987	30	-0.981365825860949	0.008079	5.046e-05
GOSR1	1024	30.97	-0.575830351197362	0.008498	5.587e-05
GINS1	979	31.56	-1.02826333326376	0.008595	5.933e-05
SIKE1	2440	32.64	-1.44379132826041	0.009136	6.607e-05
ARGLU1	185	34.23	-1.17722906973322	0.01016	7.685e-05
UPP1	2902	34.82	-0.551944832282812	0.01028	8.11e-05
ACTR10	51	35.22	-0.54814270552346	0.01023	8.404e-05
TRIM21	2786	36.39	-0.530739153384002	0.0109	9.317e-05
F8A1	872	37.02	-1.17788172527066	0.01108	9.832e-05
VMP1	2948	37.42	-0.825465745305098	0.01105	0.0001017
PTRHD1	2078	37.48	-0.537842952152605	0.01072	0.0001022
ENPP4	826	39.49	-0.502055578122257	0.01219	0.0001202
AGRN	80	43.03	-0.982220587438765	0.0154	0.0001569
DSP	726	48.73	-0.446934455954395	0.02184	0.0002298
MFN1	1432	50.16	-0.751951001562794	0.02313	0.0002509
SOGA1	2531	51.08	-0.423526234895169	0.02372	0.0002651
PGM3	1847	51.78	-0.43089782704644	0.02401	0.0002763
EMG1	820	53.13	-0.431481402207456	0.02523	0.0002986
LIG1	1321	53.23	-0.414076023041399	0.02469	0.0003003
ELMOD2	811	53.63	-0.966066088558068	0.02459	0.0003071
PHYHD1	1860	55.29	-0.45166202449138	0.02625	0.0003366
ESD	850	56.3	-0.404878308003828	0.02702	0.0003554
MARK2	1395	58.56	-0.400682206301774	0.02966	0.0003998
ZFAND5	3029	59.42	-0.408512061602057	0.03025	0.0004177
PLXNA1	1888	60.62	-0.393652533275428	0.03135	0.0004432
ATP6V1D	253	60.78	-0.388355456626338	0.03088	0.0004466
PEG10	1824	61.09	-0.395738860523894	0.03066	0.0004535
MARCH5	1392	62.07	-0.386845571568701	0.03143	0.0004753
AKAP8	99	63.04	-0.956795501434832	0.03222	0.0004978
SSSCA1	2591	65.34	-0.391001563823334	0.03507	0.0005534
NCOR1	1581	65.94	-0.438698305854631	0.03529	0.0005685
DNM1L	706	66.12	-0.50984065971628	0.03487	0.0005731
SNRPD1	2509	66.88	-0.372766723509125	0.03535	0.0005927
UTP15	2926	69.24	-0.367917950710293	0.03838	0.000656
TRIO	2792	69.41	-0.358084096524887	0.03793	0.0006609
SLC20A1	2448	69.46	-0.355497627581064	0.03731	0.0006623
USP19	2918	69.77	-0.354759487354735	0.0371	0.0006708
TMA16	2730	69.87	-0.349235440883098	0.0366	0.0006738
RBM17	2165	75.51	-0.345381155038874	0.04509	0.0008448
ACOT2;ACOT1	35	76.67	-0.339162632303716	0.04631	0.000883
VPS33A	2953	77.09	-0.343732465205711	0.04625	0.0008971
ZNF185	3034	80.01	-0.384772056421174	0.05063	0.0009986
ACP1	39	82.12	-0.33606339364483	0.05367	0.001076
ZNF428	3037	86.03	-0.749038426466781	0.06033	0.00123
PLK1	1882	86.76	-0.317426702652422	0.06083	0.00126
CDK12	430	88.3	-0.306145097646435	0.06296	0.001325
FDFT1	904	88.56	-0.363456578648199	0.06251	0.001336
RASGEF1C	2154	89.14	-0.305966733914874	0.06272	0.001361
KIF15	1269	92.07	-0.301692606485373	0.06772	0.001492
EPS8	837	92.47	-0.72046927427001	0.06754	0.00151
ADI1	63	93.7	-0.294243217950203	0.0691	0.001567
MRPL1	1470	94.1	-0.297963104087316	0.06894	0.001586
OAS3	1725	96.41	-0.311327261660857	0.07277	0.001698
LOXL2	1339	96.69	-0.289474557661403	0.07236	0.001713
MRPL53	1489	97.84	-0.284370159463337	0.07378	0.00177
CDKN2AIP	436	99.83	-0.285952351222233	0.07701	0.001873
CLASP1	481	100.5	-0.291592016516404	0.07751	0.001911
PRPSAP1	2008	101.9	-0.817816230878532	0.07932	0.001982
TRMT1L	2800	101.9	-0.303115909144546	0.0784	0.001985
UBE2G2	2859	102.1	-0.274215225257745	0.0779	0.001997
EMC1	816	104	-0.279108683752437	0.08076	0.002097
EEF1A2	756	104	-0.293712587756926	0.07988	0.002101
PRC1	1969	104.3	-0.283667519712013	0.07947	0.002116
IP6K1	1215	104.7	-0.291768611784497	0.07937	0.002139
CAMK2G;CAMK2B	351	112.2	-0.263438417009447	0.0949	0.002589
SSBP1	2585	112.5	-0.307751364326621	0.09466	0.002614
UQCC2	2904	112.7	-0.261534782660224	0.09394	0.002625
RDH14	2184	113.8	-0.491267120487599	0.09524	0.002693
ACAD9	23	116.6	-0.313118539567772	0.1006	0.002878
WDR26	2975	118.3	-0.251710526629585	0.1035	0.002994
EXOC1	859	119.2	-0.258252591724484	0.1045	0.003057
TSTA3	2813	122.4	-0.284370159463337	0.1112	0.003291
FBXO30	903	122.7	-0.268121651191569	0.1107	0.00331
NIPSNAP1	1632	124.3	-0.416769772900081	0.1134	0.003431
UBE4B	2873	125.7	-0.244343265591761	0.1156	0.003533
FNBP1	930	127.8	-0.24947924481767	0.1195	0.003693
HOMER3	1140	133.1	-0.248107861595691	0.1319	0.004121
BUD31	315	133.7	-0.25877033622704	0.1322	0.004171
WDR6	2981	133.7	-0.229720656790274	0.1309	0.004175
ACAA2	21	135.3	-0.231244004778117	0.1336	0.004305
VPS4A	2958	139.4	-0.226341186889638	0.1434	0.004667
AURKA	264	139.8	-0.232260464454422	0.1431	0.004704
JAKMIP1	1249	141	-0.703689439291908	0.145	0.004813
PHF5A	1856	144.2	-0.220278018792927	0.1522	0.005103
UBE2S	2867	145	-0.231413364999112	0.1529	0.005178
GLB1	981	148.3	-0.215077298437139	0.1606	0.00549
DIAPH3	683	148.6	-0.232768962976124	0.16	0.005524
PEPD	1826	149.4	-0.216250016992825	0.1608	0.005605
DEGS1	660	149.7	-0.215412263621112	0.1601	0.005632
BCAR3	283	149.7	-0.2397364653786	0.1587	0.005634
ATRX	258	150.3	-0.215244771307591	0.1588	0.005691
GSS	1046	150.7	-0.213905532370957	0.1583	0.005725
KIAA1033	1262	151.6	-0.212901918388995	0.1596	0.005824
UBLCP1	2875	152.3	-0.23990682554186	0.1599	0.005888
GPRC5C	1034	152.8	-0.216082427396204	0.1599	0.005939
APOB	163	154.7	-0.280159444935732	0.1638	0.006139
DIP2B	685	156.1	-0.213570916796944	0.166	0.006276
MPST	1466	156.6	-0.228029932301811	0.1661	0.006333
CSNK2A2	569	159.4	-0.207894294337095	0.1725	0.006636
CSTF2	577	162.4	-0.220614193801064	0.1793	0.006955
RPS6KA3	2310	164	-0.208060935404666	0.1823	0.007133
NDUFB8	1599	164.1	-0.211063770755173	0.1812	0.007148
SDF2	2377	165.1	-0.202073950274122	0.1824	0.007256
WBP2	2968	166.4	-0.199089748941648	0.1848	0.007412
CCDC93	395	168	-0.251710526629585	0.1877	0.007588
NDUFA5	1591	168.1	-0.199089748941648	0.1865	0.007603
NOMO2;NOMO3	1652	168.3	-0.202571917847687	0.1855	0.007622
SMURF2	2496	168.3	-0.199586687361243	0.1841	0.007624
RBM5	2172	168.3	-0.199255376063222	0.1827	0.007627
AQR	171	172.5	-0.199421022201632	0.1929	0.008116
WDR3	2976	173.6	-0.211230778342427	0.1947	0.008255
NUTF2	1720	173.8	-0.194955238629597	0.1937	0.008277
CIRH1A	471	177.2	-0.194129756521541	0.2017	0.008688
NELFCD	1616	178.4	-0.25463357341883	0.2037	0.008838
GPATCH8	1027	178.8	-0.208227595722634	0.2033	0.008888
SNX17	2519	181.8	-0.190009416024795	0.2106	0.009277
CPSF3	554	182.8	-0.195615964558658	0.2117	0.009397
METAP2	1430	183.4	-0.230566762638752	0.2121	0.009482
PCYT2	1797	184.3	-0.190503235999115	0.213	0.009594
CISD2	473	189.9	-0.196772963565072	0.2278	0.01033
WDR82	2986	190.1	-0.18311362598508	0.2269	0.01037
EIF4G3	802	191.9	-0.199586687361243	0.2305	0.01061
ARHGAP5	191	192	-0.194955238629597	0.229	0.01062
ATG5	225	194.6	-0.182131198272013	0.2351	0.01097
NFIC	1623	194.7	-0.180331816503544	0.2339	0.011
SIN3A	2441	196.2	-0.221118603237199	0.2367	0.0112
RBBP6	2158	196.3	-0.247251408592866	0.2352	0.01121
IDH3G	1184	200.1	-0.177229069733224	0.2451	0.01176
MSRA	1511	201.8	-0.250337021786211	0.2485	0.01201
GET4	973	202.6	-0.276834656542415	0.249	0.01211
AMPD2	123	202.8	-0.177065951971629	0.2479	0.01214
HECTD1	1086	205.1	-0.179024583394838	0.2532	0.01249
NDRG3	1586	205.3	-0.177229069733224	0.2519	0.01251
GLG1	982	206	-0.178044935298647	0.2524	0.01261
THOC3	2701	206	-0.177229069733224	0.2509	0.01262
GSTT2B;GSTT2	1052	206.9	-0.180822334457232	0.2517	0.01274
DUSP12	731	207	-0.18984484692168	0.2505	0.01277
GOT2	1026	207.7	-0.190997225060914	0.251	0.01287
MOV10	1458	208.5	-0.255322210682926	0.2517	0.01299
FRYL	935	208.5	-0.177392205939751	0.2501	0.01299
MRPL24	1478	209.6	-0.170718702002469	0.2517	0.01315
PRDX4	1975	210.7	-0.170881103650739	0.2533	0.01332
AIM1	89	211.2	-0.199089748941648	0.2531	0.0134
PFKM	1837	211.9	-0.222632890549587	0.2534	0.0135
LAMP2	1299	212	-0.172343541729226	0.2523	0.01352
BRAT1	303	213.8	-0.205396985351244	0.2559	0.0138
SAP30BP	2356	216.1	-0.170718702002469	0.2611	0.01416
NHP2	1628	216.8	-0.175598721451584	0.2613	0.01426
MICAL2	1439	216.9	-0.166178862209418	0.2602	0.01428
EPHX1	832	217.1	-0.173970213500261	0.2591	0.01431
WDR62	2983	218.2	-0.167636539051698	0.2607	0.01448
VPS45	2957	219.8	-0.168771306825942	0.2639	0.01475
RMDN1	2208	220.2	-0.185572626138752	0.2633	0.0148
RALBP1	2139	220.3	-0.206228941455776	0.262	0.01482
HS1BP3	1146	222.2	-0.17869796011047	0.266	0.01513
ARHGEF18	196	222.4	-0.208560974127558	0.265	0.01516
VAMP4	2932	225.8	-0.168933489394927	0.2732	0.01572
PRKCDBP	1988	225.9	-0.166502663140165	0.2719	0.01573
USP39	2920	226.6	-0.170231606716465	0.2725	0.01585
