pval	Fstat
AAGAB	0.230753618120637	3.85714285714286
AAMDC	0.373179816162273	2.33333333333333
AARSD1	0.230753618120637	3.85714285714286
AATF	0.230753618120637	3.85714285714286
ABALON	0.373179816162273	2.33333333333333
ABCA1	0.230753618120637	3.85714285714286
ABCA11P	0.230753618120637	3.85714285714286
ABCA2	0.230753618120637	3.85714285714286
ABCA3	0.373179816162273	2.33333333333333
ABCA7	0.373179816162273	2.33333333333333
ABCB10	0.373179816162273	2.33333333333333
ABCB6	0.230753618120637	3.85714285714286
ABCB9	0.230753618120637	3.85714285714286
ABCC1	0.373179816162273	2.33333333333333
ABCC3	0.373179816162273	2.33333333333333
ABCD1	0.230753618120637	3.85714285714286
ABCD4	0.230753618120637	3.85714285714286
ABCE1	0.230753618120637	3.85714285714286
ABCG2	0.373179816162273	2.33333333333333
ABCG4	0.373179816162273	2.33333333333333
ABHD13	0.230753618120637	3.85714285714286
ABHD3	0.230753618120637	3.85714285714286
ABHD4	0.230753618120637	3.85714285714286
ABHD5	0.230753618120637	3.85714285714286
ABHD8	0.373179816162273	2.33333333333333
ABLIM3	0.230753618120637	3.85714285714286
ABRACL	0.373179816162273	2.33333333333333
ABRAXAS1	0.373179816162273	2.33333333333333
ABRAXAS2	0.373179816162273	2.33333333333333
ABTB1	0.230753618120637	3.85714285714286
ACACA	0.230753618120637	3.85714285714286
ACAD10	0.373179816162273	2.33333333333333
ACADL	0.230753618120637	3.85714285714286
ACADS	0.373179816162273	2.33333333333333
ACAP1	0.230753618120637	3.85714285714286
ACAT2	0.230753618120637	3.85714285714286
ACBD4	0.230753618120637	3.85714285714286
ACCS	0.230753618120637	3.85714285714286
ACER2	0.373179816162273	2.33333333333333
ACER3	0.230753618120637	3.85714285714286
ACIN1	0.230753618120637	3.85714285714286
ACKR3	0.373179816162273	2.33333333333333
ACO2	0.373179816162273	2.33333333333333
ACOT2	0.230753618120637	3.85714285714286
ACOT7	0.373179816162273	2.33333333333333
ACOT8	0.230753618120637	3.85714285714286
ACOT9	0.230753618120637	3.85714285714286
ACOX2	0.373179816162273	2.33333333333333
ACP1	0.373179816162273	2.33333333333333
ACP6	0.230753618120637	3.85714285714286
ACSF2	0.230753618120637	3.85714285714286
ACSL3	0.373179816162273	2.33333333333333
ACSL4	0.230753618120637	3.85714285714286
ACSL5	0.230753618120637	3.85714285714286
ACSM4	0.230753618120637	3.85714285714286
ACSS1	0.230753618120637	3.85714285714286
ACSS2	0.230753618120637	3.85714285714286
ACTA2-AS1	0.230753618120637	3.85714285714286
ACTL6A	0.230753618120637	3.85714285714286
ACTR10	0.230753618120637	3.85714285714286
ACTR3	0.354066235306185	3.13725490196078
ACTR3B	0.230753618120637	3.85714285714286
ACTRT3	0.230753618120637	3.85714285714286
ACVR2A	0.230753618120637	3.85714285714286
ACVR2B	0.230753618120637	3.85714285714286
ADAL	0.230753618120637	3.85714285714286
ADAM12	0.230753618120637	3.85714285714286
ADAM8	0.230753618120637	3.85714285714286
ADAMTS14	0.230753618120637	3.85714285714286
ADAMTS16	0.373179816162273	2.33333333333333
ADAMTS3	0.230753618120637	3.85714285714286
ADAMTS6	0.373179816162273	2.33333333333333
ADAR	0.373179816162273	2.33333333333333
ADAT1	0.230753618120637	3.85714285714286
ADAT3	0.230753618120637	3.85714285714286
ADCK2	0.373179816162273	2.33333333333333
ADCY6	0.230753618120637	3.85714285714286
ADD1	0.230753618120637	3.85714285714286
ADGRA3	0.230753618120637	3.85714285714286
ADGRD1-AS1	0.230753618120637	3.85714285714286
ADGRF1	0.373179816162273	2.33333333333333
ADGRG1	0.230753618120637	3.85714285714286
ADGRG6	0.373179816162273	2.33333333333333
ADGRL1	0.230753618120637	3.85714285714286
ADIPOR1	0.373179816162273	2.33333333333333
ADIPOR2	0.230753618120637	3.85714285714286
ADIRF-AS1	0.230753618120637	3.85714285714286
ADNP	0.373179816162273	2.33333333333333
ADNP2	0.230753618120637	3.85714285714286
ADO	0.230753618120637	3.85714285714286
ADORA2B	0.230753618120637	3.85714285714286
ADPGK	0.230753618120637	3.85714285714286
ADPRH	0.230753618120637	3.85714285714286
ADPRM	0.230753618120637	3.85714285714286
ADTRP	0.230753618120637	3.85714285714286
AFAP1	0.373179816162273	2.33333333333333
AFDN	0.230753618120637	3.85714285714286
AFF4	0.373179816162273	2.33333333333333
AFG3L2	0.230753618120637	3.85714285714286
AFMID	0.373179816162273	2.33333333333333
AGAP2-AS1	0.230753618120637	3.85714285714286
AGBL3	0.230753618120637	3.85714285714286
AGBL5	0.230753618120637	3.85714285714286
AGFG1	0.230753618120637	3.85714285714286
AGFG2	0.373179816162273	2.33333333333333
AGK	0.230753618120637	3.85714285714286
AGMAT	0.230753618120637	3.85714285714286
AGO1	0.230753618120637	3.85714285714286
AGO4	0.230753618120637	3.85714285714286
AGPAT4	0.230753618120637	3.85714285714286
AGPAT5	0.230753618120637	3.85714285714286
AGPS	0.373179816162273	2.33333333333333
AHCTF1P1	0.373179816162273	2.33333333333333
AHCYL1	0.230753618120637	3.85714285714286
AHNAK2	0.230753618120637	3.85714285714286
AHSA2P	0.230753618120637	3.85714285714286
AIG1	0.230753618120637	3.85714285714286
AIM2	0.230753618120637	3.85714285714286
AIMP1	0.230753618120637	3.85714285714286
AIMP2	0.373179816162273	2.33333333333333
AIP	0.230753618120637	3.85714285714286
AJM1	0.373179816162273	2.33333333333333
AK2	0.230753618120637	3.85714285714286
AKAP13	0.230753618120637	3.85714285714286
AKAP7	0.230753618120637	3.85714285714286
AKAP9	0.373179816162273	2.33333333333333
AKIRIN1	0.230753618120637	3.85714285714286
AKR1A1	0.230753618120637	3.85714285714286
AKR1C3	0.230753618120637	3.85714285714286
AKT1S1	0.373179816162273	2.33333333333333
ALAD	0.230753618120637	3.85714285714286
ALCAM	0.373179816162273	2.33333333333333
ALDH16A1	0.230753618120637	3.85714285714286
ALDH1A3	0.230753618120637	3.85714285714286
ALDH3B1	0.373179816162273	2.33333333333333
ALDH7A1	0.230753618120637	3.85714285714286
ALDOA	0.230753618120637	3.85714285714286
ALDOC	0.373179816162273	2.33333333333333
ALG11	0.230753618120637	3.85714285714286
ALG2	0.230753618120637	3.85714285714286
ALG5	0.230753618120637	3.85714285714286
ALG8	0.230753618120637	3.85714285714286
ALKBH1	0.230753618120637	3.85714285714286
ALKBH8	0.230753618120637	3.85714285714286
ALS2	0.230753618120637	3.85714285714286
ALYREF	0.230753618120637	3.85714285714286
AMD1	0.230753618120637	3.85714285714286
AMER1	0.373179816162273	2.33333333333333
AMMECR1	0.230753618120637	3.85714285714286
AMT	0.230753618120637	3.85714285714286
ANAPC1	0.230753618120637	3.85714285714286
ANAPC11	0.230753618120637	3.85714285714286
ANAPC13	0.230753618120637	3.85714285714286
ANAPC1P4	0.230753618120637	3.85714285714286
ANAPC4	0.230753618120637	3.85714285714286
ANAPC5	0.230753618120637	3.85714285714286
ANG	0.230753618120637	3.85714285714286
ANGEL2	0.373179816162273	2.33333333333333
ANGPT1	0.230753618120637	3.85714285714286
ANGPTL2	0.230753618120637	3.85714285714286
ANKDD1A	0.354066235306185	3.13725490196078
ANKH	0.230753618120637	3.85714285714286
ANKHD1	0.230753618120637	3.85714285714286
ANKRA2	0.230753618120637	3.85714285714286
ANKRD1	0.373179816162273	2.33333333333333
ANKRD12	0.230753618120637	3.85714285714286
ANKRD13A	0.230753618120637	3.85714285714286
ANKRD13C	0.230753618120637	3.85714285714286
ANKRD18EP	0.373179816162273	2.33333333333333
ANKRD27	0.230753618120637	3.85714285714286
ANKRD29	0.230753618120637	3.85714285714286
ANKRD33B	0.230753618120637	3.97058823529412
